nom;code_postal;latitude;longitude
Grièges;1290;46.263;4.846
Grilly;1220;46.332;6.114
Groissiat;1100;46.226;5.611
Guéreins;1090;46.107;4.782
Hautecourt-Romanèche;1250;46.161;5.429
Plateau d'Hauteville;1110;45.97;5.576
Haut Valromey;1260;46.032;5.703
Illiat;1140;46.187;4.888
Injoux-Génissiat;1200;46.05;5.76
Innimond;1680;45.792;5.574
Izenave;1430;46.038;5.524
Izernore;1580;46.218;5.563
Izieu;1300;45.656;5.639
Jassans-Riottier;1480;45.978;4.76
Jasseron;1250;46.215;5.312
Jayat;1340;46.366;5.114
Journans;1250;46.146;5.334
Joyeux;1800;45.95;5.103
Jujurieux;1640;46.05;5.411
Labalme;1450;46.093;5.494
Lagnieu;1150;45.892;5.329
Laiz;1290;46.247;4.899
Le Poizat-Lalleyriat;1130;46.148;5.718
Lantenay;1430;46.054;5.541
Lapeyrouse;1330;45.986;4.982
Lavours;1350;45.811;5.773
Léaz;1200;46.109;5.876
Lélex;1410;46.286;5.929
Lent;1240;46.116;5.202
Lescheroux;1560;46.412;5.151
Leyment;1150;45.927;5.295
Leyssard;1450;46.162;5.476
Surjoux-Lhopital;1420;46.024;5.762
Lhuis;1680;45.744;5.536
Lompnas;1680;45.811;5.523
Loyettes;1360;45.792;5.218
Lurcy;1090;46.062;4.781
Magnieu;1300;45.775;5.715
Maillat;1430;46.12;5.528
Malafretaz;1340;46.33;5.144
Mantenay-Montlin;1560;46.43;5.107
Manziat;1570;46.364;4.902
Marboz;1851;46.343;5.244
Marchamp;1680;45.774;5.55
Marignieu;1300;45.801;5.716
Marlieux;1240;46.055;5.074
Marsonnas;1340;46.341;5.064
Martignat;1100;46.203;5.614
Massieux;1600;45.909;4.828
Massignieu-de-Rives;1300;45.757;5.762
Matafelon-Granges;1580;46.256;5.54
Meillonnas;1370;46.245;5.336
Mérignat;1450;46.065;5.442
Messimy-sur-Saône;1480;46.047;4.759
Meximieux;1800;45.906;5.204
Bohas-Meyriat-Rignat;1250;46.143;5.378
Mézériat;1660;46.242;5.047
Mijoux;1170;46.362;6.009
Mionnay;1390;45.896;4.924
Miribel;1700;45.844;4.941
Misérieux;1600;45.976;4.81
Mogneneins;1140;46.145;4.82
Montagnat;1250;46.169;5.28
Montagnieu;1470;45.799;5.464
Montanges;1200;46.173;5.79
Montceaux;1090;46.096;4.804
Montcet;1310;46.219;5.112
Le Montellier;1800;45.929;5.071
Monthieux;1390;45.962;4.946
Montluel;1120;45.891;5.02
Montmerle-sur-Saône;1090;46.085;4.761
Montracol;1310;46.187;5.117
Montréal-la-Cluse;1460;46.18;5.595
Montrevel-en-Bresse;1340;46.325;5.113
Nurieux-Volognat;1460;46.183;5.514
Murs-et-Gélignieux;1300;45.642;5.66
Nantua;1130;46.154;5.614
Neuville-les-Dames;1400;46.157;5.009
Neuville-sur-Ain;1160;46.091;5.374
Les Neyrolles;1130;46.134;5.637
Neyron;1700;45.818;4.931
Niévroz;1120;45.822;5.06
Nivollet-Montgriffon;1230;46.0;5.458
Oncieu;1230;45.965;5.472
Ordonnaz;1510;45.834;5.54
Ornex;1210;46.278;6.094
Outriaz;1430;46.068;5.557
Oyonnax;1100;46.26;5.653
Ozan;1190;46.387;4.918
Parcieux;1600;45.918;4.828
Parves et Nattages;1300;45.744;5.738
Péron;1630;46.191;5.92
Péronnas;1960;46.171;5.218
Pérouges;1800;45.88;5.18
Perrex;1540;46.246;4.975
Peyriat;1430;46.15;5.506
Peyrieu;1300;45.676;5.679
Peyzieux-sur-Saône;1140;46.123;4.822
Pirajoux;1270;46.386;5.274
Pizay;1120;45.893;5.089
Plagne;1130;46.188;5.718
Le Plantay;1330;46.023;5.089
Polliat;1310;46.246;5.138
Pollieu;1350;45.796;5.748
Poncin;1450;46.09;5.417
Pont-d'Ain;1160;46.054;5.347
Pont-de-Vaux;1190;46.442;4.929
Pont-de-Veyle;1290;46.264;4.882
Port;1460;46.156;5.576
Pougny;1550;46.145;5.951
Pouillat;1250;46.322;5.423
Prémeyzel;1300;45.681;5.644
Prémillieu;1110;45.876;5.565
Prévessin-Moëns;1280;46.258;6.072
Priay;1160;46.02;5.285
Ramasse;1250;46.191;5.356
Rancé;1390;45.967;4.863
Relevant;1990;46.084;4.942
Replonges;1750;46.308;4.875
Revonnas;1250;46.162;5.335
Reyrieux;1600;45.937;4.828
Reyssouze;1190;46.429;4.913
Rignieux-le-Franc;1800;45.952;5.169
Romans;1400;46.124;5.022
Rossillon;1510;45.836;5.599
Ruffieu;1260;46.004;5.653
Saint-Alban;1450;46.098;5.456
Saint-André-de-Bâgé;1380;46.298;4.914
Saint-André-de-Corcy;1390;45.927;4.954
Saint-André-d'Huiriat;1290;46.214;4.913
Saint-André-le-Bouchoux;1240;46.113;5.08
Saint-André-sur-Vieux-Jonc;1960;46.149;5.142
Saint-Bénigne;1190;46.452;4.953
Groslée-Saint-Benoit;1300;45.689;5.584
Saint-Bernard;1600;45.949;4.743
Sainte-Croix;1120;45.896;5.049
Saint-Cyr-sur-Menthon;1380;46.275;4.968
Saint-Denis-lès-Bourg;1000;46.211;5.185
Saint-Denis-en-Bugey;1500;45.949;5.324
Saint-Didier-d'Aussiat;1340;46.307;5.058
Saint-Didier-de-Formans;1600;45.956;4.778
Saint-Didier-sur-Chalaronne;1140;46.184;4.816
Saint-Éloi;1800;45.932;5.152
Saint-Étienne-du-Bois;1370;46.275;5.284
Saint-Étienne-sur-Chalaronne;1140;46.147;4.867
Saint-Étienne-sur-Reyssouze;1190;46.403;5.006
Sainte-Euphémie;1600;45.967;4.795
Saint-Genis-Pouilly;1630;46.254;6.036
Saint-Genis-sur-Menthon;1380;46.282;5.013
Saint-Georges-sur-Renon;1400;46.104;5.03
Saint-Germain-de-Joux;1130;46.182;5.747
Saint-Germain-les-Paroisses;1300;45.771;5.618
Saint-Germain-sur-Renon;1240;46.08;5.061
Saint-Jean-de-Gonville;1630;46.218;5.942
Saint-Jean-de-Niost;1800;45.84;5.212
Saint-Jean-de-Thurigneux;1390;45.96;4.899
Saint-Jean-le-Vieux;1640;46.029;5.382
Saint-Jean-sur-Reyssouze;1560;46.397;5.063
Saint-Jean-sur-Veyle;1290;46.268;4.922
Sainte-Julie;1150;45.882;5.284
Saint-Julien-sur-Reyssouze;1560;46.4;5.104
Saint-Julien-sur-Veyle;1540;46.202;4.959
Saint-Just;1250;46.193;5.285
Saint-Laurent-sur-Saône;1750;46.305;4.84
Saint-Marcel;1390;45.949;4.99
Saint-Martin-de-Bavel;1510;45.848;5.679
Saint-Martin-du-Frêne;1430;46.136;5.571
Saint-Martin-du-Mont;1160;46.106;5.326
Saint-Martin-le-Châtel;1310;46.291;5.123
Saint-Maurice-de-Beynost;1700;45.834;4.977
Saint-Maurice-de-Gourdans;1800;45.82;5.17
Saint-Maurice-de-Rémens;1500;45.953;5.271
Saint-Nizier-le-Bouchoux;1560;46.453;5.176
Saint-Nizier-le-Désert;1320;46.053;5.142
Sainte-Olive;1330;46.014;4.936
Saint-Paul-de-Varax;1240;46.096;5.128
Saint-Rambert-en-Bugey;1230;45.95;5.44
Saint-Rémy;1310;46.185;5.168
Saint-Sorlin-en-Bugey;1150;45.886;5.376
Saint-Sulpice;1340;46.321;5.042
Saint-Trivier-de-Courtes;1560;46.461;5.067
Saint-Trivier-sur-Moignans;1990;46.062;4.902
Saint-Vulbas;1150;45.822;5.27
Salavre;1270;46.364;5.347
Samognat;1580;46.265;5.586
Sandrans;1400;46.066;4.983
Sault-Brénaz;1150;45.865;5.404
Sauverny;1220;46.313;6.11
Savigneux;1480;45.997;4.858
Ségny;1170;46.294;6.073
Seillonnaz;1470;45.798;5.498
Sergy;1630;46.263;5.989
Sermoyer;1190;46.498;4.979
Serrières-de-Briord;1470;45.813;5.441
Serrières-sur-Ain;1450;46.147;5.45
Servas;1960;46.139;5.179
Servignat;1560;46.435;5.056
Seyssel;1420;45.948;5.826
Simandre-sur-Suran;1250;46.234;5.422
Sonthonnax-la-Montagne;1580;46.223;5.506
Souclin;1150;45.878;5.431
Sulignat;1400;46.174;4.958
Talissieu;1510;45.864;5.721
Tenay;1230;45.923;5.514
Thil;1120;45.817;5.018
Thoiry;1710;46.244;5.965
Thoissey;1140;46.17;4.794
Torcieu;1230;45.921;5.404
Tossiat;1250;46.138;5.304
